;0
684;243612.0240264237
685;-141014.9054565262
686;-1372083.9556800947
687;-2247348.617013011
688;-97508.24233581405
689;-958046.0741281621
690;-1533852.0065537528
691;1400853.6203378595
692;1662997.0852073645
693;-832349.7050272701
694;-103334.86745257373
695;1109786.9001531054
696;481055.69688735646
697;-2276431.346457004
698;-453279.68304451834
699;646266.2890736843
700;1051779.241039453
701;243462.9324024627
702;-2916836.860895496
703;513480.67697297555
704;-1583046.2179966536
705;501728.2337979353
706;753248.0574372155
707;-6968214.846750205
708;-1183186.284693023
709;-701570.0258182227
710;-127474.96664065123
711;-1046145.269503097
712;563182.2150912136
713;-1086582.330788048
714;-782699.632488109
715;-706826.9375061104
716;130830.20052913297
717;342260.36364561005
718;-973446.7264054278
719;-21592.968902599998
720;-97257.5226783409
721;-2900845.2564672697
722;-426702.02098876145
723;-7455250.70778782
724;9263422.978927497
725;-2469632.0207468616
726;-2277858.7674880633
727;-639381.0870815543
728;593860.522326858
729;-149387.323012908
730;-963579.0639746771
731;-1506745.9915734176
732;98020.41277012508
733;-613167.0432643495
734;1608300.149051291
735;-2849889.1218831395
736;-39560.68945635669
737;1547670.617830689
738;568385.7261182889
739;4549575.759532284
740;-1401581.0542558765
741;-361349.87685583066
742;-554374.8703707526
743;-557310.0082967419
744;2401631.891331747
745;-308921.1420150567
746;449910.1404879987
747;-843769.9977743365
748;777886.8688105489
749;-1492063.362887363
750;-491568.23115309887
751;-927064.1502749369
752;-1079483.4551092647
753;146408.02339876466
754;1526582.8280108608
755;-106693.71785657201
756;82835.05987064913
757;1796428.0323592024
758;1588972.242123852
759;3015928.7433766345
760;-190976.4284546799
761;177903.44014396542
762;684781.5776193272
763;213274.90448325826
764;-62662.04174739169
765;376633.4823979363
766;523703.7234652103
767;582013.899163912
768;-652373.1473480053
769;1989147.2065004203
770;3343354.0968575045
771;-754054.981495902
772;-636768.9558855649
773;-1242379.888781283
774;1795262.7976901077
775;-31852.949706699466
776;-599832.2291774824
777;122687.04008473549
778;1693388.2177635422
779;-546968.7300224914
780;-871289.2009057673
781;-297593.69041232334
782;-914376.6910128719
783;1625486.3786074044
784;-860399.9638695167
785;52514.27794869244
786;2165659.8205374177
787;-1353442.860659894
788;-825809.3240702655
789;2693042.3649946526
790;-1936835.4158072206
791;924401.1902285719
792;-607722.7779359741
793;-1451413.152413019
794;177412.05046119727
795;-1645471.5341348557
796;-1803791.9936528439
797;2361908.443596012
798;2099963.7953905044
799;-668491.533182025
800;1435087.0697905738
801;-2157282.769070565
802;-332933.3188581085
803;-4472049.005093826
804;996217.17568368
805;-1659082.5220294856
806;-704946.7086442485
807;-1297350.1847104281
808;842497.7587645017
809;-1998636.8138944823
810;450798.0638282411
811;1495496.145524689
812;97234.2137561161
813;-1698498.10532841
814;1273693.6762871803
815;-1163035.6114819245
816;-997346.1424881015
817;1216676.1676910776
818;3118432.702036962
819;-360377.2265792573
820;-859259.5963174783
821;-716503.3777913023
822;-1432310.010744838
823;1190218.4528690735
824;819110.1211910276
825;-4872.512596956454
826;147940.0005174738
827;1633917.2154594325
828;141208.77754306048
829;-82143.86996915005
830;-1850162.3912979169
831;1993128.7574151414
832;1263363.0973192155
833;212022.25016979687
834;854158.8246886209
835;-359667.35084146913
836;402455.752407433
837;28934.94991972111
838;-1236748.4148886418
839;-2909829.1114771375
840;-1974574.1244211015
841;-2302967.2487006444
842;304457.91805233154
843;-776857.4205768877
844;-1329725.4378595583
845;1314165.2849645652
846;1147344.7589634769
847;469620.84396543633
848;140931.85012829956
849;-3121023.3601658545
850;-1391975.9850170119
851;2299348.8655026276
852;1697249.0533598457
853;938933.5100732576
854;555126.4028296433
855;-920549.947664103
856;-1370761.7781561953
857;337913.3015028557
858;-1306609.4226988712
859;781510.1381085608
860;-130712.7571993901
861;-124807.98352694581
862;-536926.4544843659
863;-1730646.7648136688
864;150644.82094564475
865;-2025440.9890326345
866;-3816561.8302789405
867;-149825.81287799997
868;441879.61131657846
869;-863411.8871391146
870;1705888.0326670678
871;1040786.219712154
872;949248.9859249089
873;-1680542.0878516827
874;2435376.632486386
875;682783.005783956
876;1313684.5861386186
877;-637256.6422676826
878;-1603472.336749481
879;-368163.4841503408
880;-1407072.72016746
881;-2825001.942800792
882;428277.10050666204
883;1849340.9296906563
884;-1705174.2253735913
885;129032.7616099082
886;310350.6364550451
887;2298370.38787956
888;-753975.7750406554
889;-859145.5929713082
890;909614.5990874358
891;307839.65210395306
892;-943021.0823582169
893;721234.2030638885
894;1357699.1769946478
895;2281955.125158286
896;-868910.6094778804
897;613664.067229012
898;141061.89464096446
899;1592296.1485162461
900;4783981.903214401
901;7702.659048300702
902;1964484.1451866385
903;-496707.22896233946
904;-1225223.1486659884
905;-2422276.04730059
906;-2207683.400040136
907;230127.27922562417
908;-1327564.462269839
909;429932.5092528444
910;1989110.6910237446
911;-378544.2599993008
912;4677832.133701166
913;404608.6182033133
914;-974687.2285153562
915;1642190.197207305
916;812692.8285512936
917;1914811.9037626423
918;-504290.36885804497
919;245807.50094283186
920;-2006975.693919721
921;3013507.9998448957
922;-52478.753492881544
923;983748.0362304645
924;635326.4808312415
925;-2731573.193353967
926;-275295.7162221258
927;-304978.9445450008
928;-852998.7380461167
929;-1407559.584401609
930;-990448.2727222415
931;50794.9731346881
932;661812.450326323
933;-2080377.8577919947
934;-1831733.4657697477
935;-891391.5573842302
936;-1994204.8039311238
937;58508.27713380847
938;-43575.976966903545
939;-215336.15683083097
940;2078477.7274551564
941;-1717142.8062599888
942;-537685.6839630688
943;-787832.3770071734
944;-731012.1961810635
945;527681.3339125402
946;710335.0335160159
947;-2660498.8780155443
948;-1670549.0991021479
949;-1864943.4882276384
950;314965.22609935235
951;1091858.740810112
952;-1145745.1835828742
953;-1653807.9665391387
954;1928735.0655712206
955;1009441.1446715123
956;-1162078.5958379316
957;-881914.07139682
958;-816245.9257095782
959;341466.5384717118
960;-2386453.5183148636
961;-510881.7607963565
962;-741281.9734387468
963;-311995.75405385415
964;-652287.5068523241
965;-1821040.6499054753
966;998339.8278005917
967;-2378313.6414439073
968;635631.1069907139
969;-1111355.8831233978
970;59495.91496100766
971;-713719.4822314214
972;271270.060287063
973;3099580.837582987
974;-1700918.3142867358
975;293595.2536017058
976;-5144.644814637955
977;345155.7822250938
978;-2119817.747304504
979;-2786342.5563076995
980;-784030.5046131713
981;-30286.77159115905
982;-128458.87142876908
983;6057167.815120266
984;-13777.874480473809
985;2006350.7684989162
986;-629537.3501795037
987;140628.51060766447
988;4093205.511451577
989;1134491.8410728788
990;-1161326.3272461453
991;5694548.869551189
992;-676874.7510856409
993;436515.193587427
994;558310.3663585726
995;-368878.8263182761
996;-2679838.581142798
997;965203.316872336
998;17181.89478618279
999;4248213.65580238
1000;-1032554.515332438
1001;-1048277.3739003744
1002;-1593795.8686649697
1003;-923815.6458738139
1004;2627290.839946294
1005;-3826.3537225220352
1006;-568286.8106594741
1007;130741.06407484692
1008;1553855.8922556555
